timestamp,common_name,confidence
12-22-2025 14:25:56,House Finch,0.231
12-22-2025 14:26:05,House Finch,0.427
12-22-2025 14:26:21,House Finch,0.975
12-22-2025 14:26:23,House Finch,0.641
12-22-2025 14:26:29,Northern Mockingbird,0.141
12-22-2025 14:26:32,White-throated Sparrow,0.17
12-22-2025 14:26:41,House Finch,0.105
12-22-2025 14:26:50,House Finch,0.224
12-22-2025 14:26:53,House Finch,0.145
12-22-2025 14:26:56,House Finch,0.255
12-22-2025 14:27:25,House Finch,0.652
12-22-2025 14:27:29,White-throated Sparrow,0.13
12-22-2025 14:28:26,Red-bellied Woodpecker,0.31
12-22-2025 14:28:26,House Sparrow,0.108
12-22-2025 14:29:19,House Finch,0.977
12-22-2025 14:29:23,House Finch,0.949
12-22-2025 14:29:26,House Finch,0.245
12-22-2025 14:29:30,House Finch,0.305
12-22-2025 14:29:34,House Finch,0.214
12-22-2025 14:29:37,House Finch,0.539
12-22-2025 14:30:07,Cedar Waxwing,0.216
12-22-2025 14:30:11,House Finch,0.748
12-22-2025 14:30:16,House Finch,0.575
12-23-2025 09:41:36,American Crow,0.136
12-23-2025 09:42:00,White-breasted Nuthatch,0.246
12-23-2025 09:42:06,Blue Jay,0.113
12-23-2025 09:42:09,White-breasted Nuthatch,0.851
12-23-2025 09:43:12,Blue Jay,0.686
12-23-2025 09:43:15,Blue Jay,0.195
12-23-2025 09:43:24,Blue Jay,0.2
12-23-2025 09:44:06,Blue Jay,0.991
12-23-2025 09:44:09,Blue Jay,0.696
12-23-2025 09:44:12,Blue Jay,0.983
12-23-2025 09:44:15,Blue Jay,0.997
12-23-2025 09:44:18,Blue Jay,0.975
12-23-2025 09:44:21,Blue Jay,0.988
12-23-2025 09:44:24,Blue Jay,0.988
12-23-2025 09:44:27,Blue Jay,0.963
12-23-2025 09:44:30,Blue Jay,0.855
12-23-2025 09:44:33,Blue Jay,0.955
12-23-2025 09:44:36,Blue Jay,0.92
12-23-2025 09:44:45,Northern Cardinal,0.216
12-23-2025 09:44:57,Black-capped Chickadee,0.16
12-23-2025 09:46:24,Black-capped Chickadee,0.214
12-23-2025 09:47:00,Blue Jay,0.444
12-23-2025 09:47:03,Blue Jay,0.186
12-23-2025 09:47:09,Rock Pigeon,0.278
12-23-2025 09:47:12,Blue Jay,0.102
12-23-2025 09:47:15,Blue Jay,0.143
12-23-2025 09:47:18,Cooper's Hawk,0.17
12-23-2025 09:47:21,Cooper's Hawk,0.208
12-23-2025 09:47:24,Blue Jay,0.119
12-23-2025 09:47:27,Blue Jay,0.202
12-23-2025 09:47:30,Cooper's Hawk,0.314
12-23-2025 09:47:51,Blue Jay,0.421
12-23-2025 09:47:54,Rock Pigeon,0.51
12-23-2025 09:48:03,Blue Jay,0.202
12-23-2025 09:48:03,Cooper's Hawk,0.142
12-23-2025 09:48:18,Blue Jay,0.194
12-23-2025 09:48:18,Cooper's Hawk,0.179
12-23-2025 09:48:27,Blue Jay,0.391
12-23-2025 09:50:21,House Finch,0.429
12-23-2025 09:57:34,Blue Jay,0.111
12-23-2025 09:58:31,Blue Jay,0.13
12-23-2025 09:59:22,House Finch,0.293
12-23-2025 09:59:28,House Finch,0.105
12-23-2025 09:59:34,House Finch,0.263
12-23-2025 09:59:49,House Finch,0.116
12-23-2025 09:59:55,Blue Jay,0.699
12-23-2025 10:00:07,Blue Jay,0.587
12-23-2025 10:00:10,Blue Jay,0.655
12-23-2025 10:00:25,Blue Jay,0.435
12-23-2025 10:00:28,Blue Jay,0.568
12-23-2025 10:00:31,Blue Jay,0.101
12-23-2025 10:00:34,Blue Jay,0.801
12-23-2025 10:00:37,Blue Jay,0.813
12-23-2025 10:00:40,Blue Jay,0.786
12-23-2025 10:00:43,Blue Jay,0.881
12-23-2025 10:00:46,Blue Jay,0.875
12-23-2025 10:00:49,Blue Jay,0.848
12-23-2025 10:00:52,Blue Jay,0.671
12-23-2025 10:00:55,Blue Jay,0.621
12-23-2025 10:00:58,Blue Jay,0.891
12-23-2025 10:01:01,Blue Jay,0.985
12-23-2025 10:01:04,Blue Jay,0.835
12-23-2025 10:01:07,Blue Jay,0.533
12-23-2025 10:01:16,Blue Jay,0.294
12-23-2025 10:01:22,Blue Jay,0.842
12-23-2025 10:01:25,Blue Jay,0.334
12-23-2025 10:01:37,House Finch,0.698
12-23-2025 10:01:40,House Finch,0.133
12-23-2025 10:01:46,House Finch,0.579
12-23-2025 10:02:16,Blue Jay,0.693
12-23-2025 10:02:19,Blue Jay,0.411
12-23-2025 10:03:37,Blue Jay,0.267
12-23-2025 10:03:40,Blue Jay,0.865
12-23-2025 10:03:43,Blue Jay,0.812
12-23-2025 10:03:46,Blue Jay,0.681
12-23-2025 10:03:49,Blue Jay,0.386
12-23-2025 10:03:52,Blue Jay,0.871
12-23-2025 10:05:01,Blue Jay,0.429
12-23-2025 10:05:34,Blue Jay,0.66
12-23-2025 10:05:37,Blue Jay,0.451
12-23-2025 10:06:13,House Finch,0.544
12-23-2025 10:06:43,House Finch,0.229
12-23-2025 10:06:46,House Finch,0.268
12-23-2025 10:08:40,House Finch,0.194
12-23-2025 10:08:55,Blue Jay,0.311
12-23-2025 10:09:01,Blue Jay,0.634
12-23-2025 10:11:13,House Finch,0.438
12-23-2025 10:11:34,House Finch,0.642
12-23-2025 10:11:52,House Finch,0.223
12-23-2025 10:11:55,Blue Jay,0.709
12-23-2025 10:11:58,Blue Jay,0.468
12-23-2025 10:12:04,Blue Jay,0.489
12-23-2025 10:12:16,Dunlin,0.206
12-23-2025 10:12:22,Blue Jay,0.56
12-23-2025 10:12:25,Blue Jay,0.382
12-23-2025 10:12:28,Blue Jay,0.601
12-23-2025 10:12:31,Blue Jay,0.335
12-23-2025 10:12:37,Blue Jay,0.584
12-23-2025 10:12:40,Blue Jay,0.127
12-23-2025 10:12:46,Blue Jay,0.841
12-23-2025 10:12:49,Blue Jay,0.54
12-23-2025 10:12:58,Blue Jay,0.81
12-23-2025 10:13:07,Blue Jay,0.578
12-23-2025 10:13:22,Blue Jay,0.215
12-23-2025 10:13:34,Blue Jay,0.779
12-23-2025 10:13:46,House Finch,0.105
12-23-2025 10:14:22,Blue Jay,0.171
12-23-2025 10:14:58,House Finch,0.583
12-23-2025 10:15:01,Rock Pigeon,0.178
12-23-2025 10:20:58,Blue Jay,0.959
12-23-2025 10:21:01,Blue Jay,0.849
12-23-2025 10:21:04,Blue Jay,0.374
12-23-2025 10:21:07,Blue Jay,0.84
12-23-2025 10:21:10,Blue Jay,0.724
12-23-2025 10:21:16,Blue Jay,0.821
12-23-2025 10:21:19,Blue Jay,0.645
12-23-2025 10:21:37,Blue Jay,0.888
12-23-2025 10:22:07,Blue Jay,0.593
12-23-2025 10:33:30,Blue Jay,0.124
12-23-2025 10:34:03,Dunlin,0.301
12-23-2025 10:35:06,Blue Jay,0.151
12-23-2025 10:35:36,Blue Jay,0.216
12-23-2025 10:35:39,Blue Jay,0.692
12-23-2025 10:35:42,Blue Jay,0.574
12-23-2025 10:35:45,Blue Jay,0.561
12-23-2025 10:37:06,Tufted Titmouse,0.606
12-23-2025 10:38:33,White-breasted Nuthatch,0.739
12-23-2025 10:40:39,White-breasted Nuthatch,0.262
12-23-2025 10:41:00,House Finch,0.123
12-23-2025 10:41:36,House Finch,0.15
12-23-2025 10:41:51,Blue Jay,0.321
12-23-2025 10:41:54,Blue Jay,0.123
12-23-2025 10:42:00,Blue Jay,0.498
12-23-2025 10:42:09,Blue Jay,0.775
12-23-2025 10:42:12,Blue Jay,0.813
12-23-2025 10:42:15,Blue Jay,0.747
12-23-2025 10:42:18,Blue Jay,0.552
12-23-2025 10:42:33,Blue Jay,0.328
12-23-2025 10:43:36,Blue Jay,0.696
12-23-2025 10:43:45,Blue Jay,0.233
12-23-2025 10:50:15,White-breasted Nuthatch,0.894
12-23-2025 11:29:59,Northern Cardinal,0.852
12-23-2025 11:30:03,Northern Cardinal,0.787
12-23-2025 11:31:17,Rock Pigeon,0.318
12-23-2025 11:34:18,House Finch,0.278
12-23-2025 11:34:21,House Finch,0.737
12-23-2025 11:34:24,House Finch,0.598
12-23-2025 11:34:27,House Finch,0.434
12-23-2025 11:39:24,Carolina Wren,0.944
12-23-2025 11:40:54,Blue Jay,0.285
12-23-2025 11:40:57,Dunlin,0.204
12-23-2025 11:41:09,Blue Jay,0.105
12-23-2025 11:41:35,Blue Jay,0.233
12-23-2025 11:41:39,Blue Jay,0.219
